iter	Passed	Remaining
969	47879	26161
970	47936	26115
971	47982	26064
972	48030	26014
973	48077	25963
974	48124	25913
975	48158	25855
976	48213	25809
977	48269	25763
978	48310	25709
979	48342	25651
980	48385	25598
981	48426	25544
982	48471	25493
983	48510	25438
984	48544	25381
985	48579	25324
986	48626	25273
987	48659	25216
988	48695	25160
989	48739	25108
990	48776	25052
991	48824	25002
992	48861	24947
993	48901	24893
994	48938	24838
995	48985	24788
996	49028	24735
997	49064	24679
998	49110	24628
999	49153	24576
1000	49199	24526
1001	49236	24471
1002	49270	24414
1003	49304	24357
1004	49353	24308
1005	49405	24260
1006	49441	24205
1007	49474	24148
1008	49507	24091
1009	49546	24037
1010	49581	23981
1011	49617	23925
1012	49657	23873
1013	49711	23826
1014	49753	23773
1015	49810	23728
1016	49846	23673
1017	49897	23625
1018	49941	23574
1019	49975	23517
1020	50018	23466
1021	50069	23417
1022	50113	23366
1023	50152	23313
1024	50202	23264
1025	50250	23215
1026	50286	23160
1027	50327	23107
1028	50365	23053
1029	50420	23007
1030	50460	22954
1031	50496	22899
1032	50533	22845
1033	50575	22793
1034	50610	22738
1035	50650	22685
1036	50687	22630
1037	50721	22575
1038	50758	22521
1039	50799	22469
1040	50844	22418
1041	50888	22367
1042	50923	22312
1043	50978	22266
1044	51015	22212
1045	51051	22157
1046	51095	22107
1047	51132	22053
1048	51174	22001
1049	51211	21947
1050	51251	21895
1051	51298	21845
1052	51344	21795
1053	51385	21743
1054	51424	21690
1055	51471	21641
1056	51520	21592
1057	51568	21543
1058	51612	21492
1059	51646	21438
1060	51683	21384
1061	51730	21335
1062	51779	21286
1063	51826	21237
1064	51870	21186
1065	51914	21136
1066	51961	21086
1067	52012	21038
1068	52051	20986
1069	52089	20933
1070	52130	20881
1071	52165	20827
1072	52210	20777
1073	52247	20724
1074	52288	20672
1075	52322	20617
1076	52365	20566
1077	52413	20518
1078	52447	20463
1079	52487	20411
1080	52524	20358
1081	52573	20310
1082	52611	20257
1083	52664	20210
1084	52700	20157
1085	52745	20107
1086	52784	20055
1087	52847	20011
1088	52899	19964
1089	52938	19912
1090	52985	19863
1091	53029	19813
1092	53076	19764
1093	53117	19712
1094	53159	19661
1095	53207	19612
1096	53245	19560
1097	53287	19509
1098	53324	19456
1099	53363	19404
1100	53411	19356
1101	53455	19305
1102	53505	19258
1103	53557	19210
1104	53597	19159
